CO	DM	SE	SV	CM	EX	EC	PR	SU	AE	CE	DS	DV	HO	MH	DA	DD	EG	IE	IS	LB	MB	MS	MI	MO	PC	PP	PE	QS	RP	SC	SS	TU	TR	RS	VS	CC	FA	SR	TA	TE	TV	TD	TI	TS	BE	BS	PF	PG	PB	SB	DI	DU	DX	DE	DT	DR	DO	RELREC	AG	RELSUB	RE
CODY	SEX		SVSTRF	CMDOSE	EXROUTE	ECDOSFRM	PRDOSFRM	SUDOSTXT	AESCAT	CESTDTC	DSPTCD	DVHLT	HODY	MHSTDTC	VISITNUM	DDTSTDTL	EGREASND	IELNKID	ISNAM	LBSTNRLO	MBREASND	MSREASND	MISTAT	MOSTAT	PCNAM	PPRFTDTC	PEMETHOD	QSDRVFL	RPBLFL	SCDY	SSDTC	TUEVAL	TRNAM	RSEVALID	VSLOC	CCORRESU	FALOC	SRREASND							VISITNUM	BSREASND	PFSCAT	PGORRESU				VISIT	DXLAT	VISIT					AGDOSTXT		RESTRESU
COTPT	RACE		SVENRF	CMDOSTXT	EXLOT	ECDOSFRQ	PRDOSFRQ	SUDOSU	AEPRESP	CEENDTC	DSHLT	DVHLTCD	HOSTDY	MHENDTC	VISIT	DDCAT	EGFXN	IELNKGRP	ISSPEC	LBSTNRHI	MBNAM	MSNAM	MIREASND	MOREASND	PCSPEC	PPSTINT	PEEVAL	QSEVAL	RPDRVFL	SCREFID	SSDY	TUEVALID	TRMETHOD	RSACPTFL	VSLAT	CCORNRLO	FALAT	SRNAM							VISIT	BSNAM	PFNSPCES	PGSTRESC				VISITDY	DXMETHOD	VISITDY					AGDOSU		RESTREFN
COTPTNUM	ETHNIC		SVSTRTPT	CMDOSU	EXLOC	ECDOSTOT	PRDOSRGM	SUDOSFRM	AEBODSYS	CEDY	DSHLTCD	DVHLGT	HOENDY	MHDY	VISITDY	DDSCAT	EGNAM	IEMODIFY	ISMETHOD	LBSTNRC	MBLOINC	MSLOINC	MINAM	MOXFN	PCSPCCND	PPENINT	VISITNUM	VISITNUM	VISITNUM	SCLNKID	SSREFID	TUACPTFL	TREVAL	VISITNUM	VSBLFL	CCORNRHI	FABLFL	SRSPEC							VISITDY	BSSPEC	PFNSTRN	PGSTRESN				DUDTC	DXADJ	DEDTC					AGDOSFRM		RESTAT
COTPTREF	ARMCD		SVSTTPT	CMDOSFRM	EXLAT	ECDOSRGM	PRROUTE	SUDOSFRQ	AEBDSYCD	CESTRF	DSHLGT	DVHLGTCD	HODUR	MHENRF	DADTC	DDPOS	EGMETHOD	IETSTDTL	ISBLFL	LBNRIND	MBSPEC	MSMETHOD	MISPEC	MONAM	PCMETHOD	PPREFID	VISIT	VISIT	VISIT	SCLNKGRP	SSLNKID	VISITNUM	TREVALID	VISIT	VSDRVFL	CCSTRESC	FAEVAL	SRLOC							BEDTC	BSANTREG	PFORRES	PGSTRESU				DUDY	DXSTDTC	DESTDTC					AGDOSFRQ		REREASND
COELTM	ARM		SVENRTPT	CMDOSFRQ	EXDIR	ECROUTE	PRLOC	SUDOSTOT	AESOC	CEENRF	DSHLGTCD	DVPRESP	HOSTRTPT	MHENRTPT	DADY	DDBODSYS	EGLEAD	IEPOS	ISLLOQ	LBSTAT	MBSPCCND	MSBLFL	MISPCCND	MOLOC	PCDRVFL	PPSPID	VISITDY	VISITDY	VISITDY	SCMODIFY	SSLNKGRP	VISIT	TRACPTFL	VISITDY	VISITNUM	CCSTRESN	VISITNUM	SRLAT							BEDY	BSSPCCND	PFORRESU	PGSTAT					DXENDTC	DEENDTC					AGROUTE		RELOC
CORFTDTC	ACTARMCD		SVENTPT	CMDOSTOT	EXFAST	ECLOT	PRLAT	SUROUTE	AESOCCD	CESTRTPT	DSPRESP	DVOCCUR	HOSTTPT	MHENTPT	DALNKID	DDORRESU	EGBLFL	IEBODSYS	VISITNUM	LBREASND	MBLOC	MSDRVFL	MILOC	MOLAT	PCLLOQ	PPLNKID	PEDTC	QSDTC	RPDTC	SCTSTDTL	SSMODIFY	VISITDY	VISITNUM	EPOCH	VISIT	CCSTRESU	VISIT	SRMETHOD							BESTDTC	BSMETHOD	PFORREF	PGREASND					DXSTDY	DEDY					VISITNUM		RELAT
TAETORD	ACTARM			CMDOSRGM	EXADJ	ECLOC	PRDIR	SUSTDTC	AELOC	CESTTPT	DSOCCUR	DVSTAT	HOENRTPT	MHELTM	DALNKGRP	DDORNRLO	EGDRVFL	IEORRESU	VISIT	LBNAM	MBMETHOD	VISITNUM	MILAT	MODIR	PCULOQ	PPLNKGRP	PEDY	QSDY	RPDY	SCPOS	SSTSTDTL	EPOCH	VISIT	RSDTC	VISITDY	CCRESCAT	VISITDY	SREVAL							BEENDTC	BSBLFL	PFGENLOC	PGXFN					DXENDY	DESTDY					VISIT		REDIR
	DMDTC			CMROUTE	EPOCH	ECLAT	PRPORTOT	SUENDTC	AESEV	CEENRTPT	DSSTAT	DVREASND	HOENTPT	MHTPTREF	DAMODIFY	DDORNRHI	EGEVAL	IEORNRLO	VISITDY	LBLOINC	MBBLFL	VISIT	MIDIR	MOPORTOT	VISITNUM	PPMODIFY	PEREFID	QSTPT	RPLNKID	SCBODSYS	SSPOS	TUDTC	VISITDY	RSDY	VSDTC	CCSTNRLO	FADTC	VISITNUM							BESTDY	VISITNUM	PFGENSR	PGNAM					DXDUR	DEENDY					VISITDY		REMETHOD
	DMDY			CMSTDTC	EXSTDTC	ECDIR	VISITNUM	SUSTDY	AESER	CEENTPT	DSREASND	DVBODSYS	HOMODIFY	MHRFTDTC	DATSTDTL	DDSTRESN	VISITNUM	IEORNRHI	ISDTC	LBSPEC	MBDRVFL	VISITDY	MIMETHOD	MOMETHOD	VISIT	PPTSTDTL	PELNKID	QSTPTNUM	RPLNKGRP	SCORNRLO	SSBODSYS	TUDY	EPOCH	RSMODIFY	VSDY	CCSTNRHI	FADY	VISIT							BEENDY	VISIT	PFSTRESC	PGSPEC											AGSTDTC		REBLFL
	AGETXT			CMENDTC	EXENDTC	ECPORTOT	VISIT	SUENDY	AEACN	CEMODIFY	DSBODSYS	DVBDSYCD	HOLLT	MHLOC	DAPOS	DDSTRESU	VISIT	IESTRESN	ISDY	LBSPCCND	VISITNUM	MSDTC	MIBLFL	MOANMETH	VISITDY	PPPOS	PELNKGRP	QSELTM	RPMODIFY	SCORNRHI	SSORRESU	TULNKGRP	TRDTC	RSTSTDTL	VSTPT	CCSTNRC	FAREFID	VISITDY							BEDUR	VISITDY	PFSTRESN	PGSPCCND											AGENDTC		REDRVFL
	SETCD			CMSTDY	EXSTDY	ECFAST	VISITDY	SUDUR	AEACNOTH	CELLT	DSBDSYCD	DVSOC	HOLLTCD	MHLLT	DABODSYS	DDSTNRLO	VISITDY	IESTRESU	ISLNKID	LBMETHOD	VISIT	MSDY	MIEVAL	MOBLFL	PCDTC	PPBODSYS	PETSTDTL	QSTPTREF	RPTSTDTL	SCRESCAT	SSORNRLO	TUMODIFY	TRDY	RSSCAT	VSTPTNUM	CCNRIND	FATPT	SRDTC							BETPTREF	BSDTC	PFSTRESU	PGMETHOD											AGSTDY		REEVAL
	COUNTRY			CMENDY	EXENDY	ECPSTRG	PRSTDTC	SUSTRF	AEREL	CELLTCD	DSSOC	DVSOCCD	HOPTCD	MHLLTCD	DAORNRLO	DDSTNRHI	EGDTC	IERESCAT	ISLNKGRP	LBBLFL	VISITDY	MSTPT	VISITNUM	MODRVFL	PCENDTC	PPORNRLO	PEPOS	QSRFTDTC	RPPOS	SCSTNRLO	SSORNRHI	TUTSTDTL	TRMODIFY	RSPOS	VSELTM	CCSTAT	FATPTNUM	SRDY							BEELTM	BSDY	PFRSNUM	PGRUNID											AGENDY		REIRESFL
	VISIT			CMDUR	EXDUR	ECPSTRGU	PRENDTC	SUENRF	AERELNST	CEPTCD	DSSOCCD	DVLOC	HOHLT	MHPTCD	DAORNRHI	DDSTNRC	EGDY	IESTNRLO	ISMODIFY	LBFAST	MBDTC	MSTPTNUM	VISIT	MOEVAL	PCDY	PPORNRHI	PEORNRLO	QSEVLINT	RPBODSYS	SCSTNRHI	SSSTRESN	TUCAT	TRTSTDTL	RSBODSYS	VSTPTREF	CCREASND	FAELTM	SRTPT							BESTRTPT	BSTPT	PFALLELC	VISITNUM											AGDUR		VISITNUM
				CMSTRF	EXTPT	ECADJ	PRSTDY	SUSTRTPT	AEPATT	CEHLT	DSLOC	DVLAT	HOHLTCD	MHHLT	DARESCAT	DDNRIND	EGTPT	IESTNRHI	ISTSTDTL	LBDRVFL	MBDY	MSELTM	VISITDY	VISITNUM	PCTPT	PPRESCAT	PEORNRHI	QSREFID	RPORNRLO	SCSTNRC	SSSTRESU	TUSCAT	TRCAT	RSORRESU	VSRFTDTC	CCXFN	FATPTREF	SRTPTNUM							BESTTPT	BSTPTNUM	PFRESCAT	VISIT											AGSTRF		VISIT
				CMENRF	EXTPTNUM	EPOCH	PRENDY	SUSTTPT	AEOUT	CEHLTCD	DSLAT	DVDIR	HOHLGT	MHHLTCD	DASTNRLO	DDSTAT	EGTPTNUM	IESTNRC	ISPOS	LBTOX	MBTPT	MSTPTREF	MIDTC	VISIT	PCTPTNUM	PPSTNRLO	PESTRESN	QSLNKID	RPORNRHI	SCNRIND	SSRESCAT	TUPOS	TRSCAT	RSORNRLO	VSREFID	CCNAM	FARFTDTC	SRELTM							BETPT	BSELTM	PFSTAT	VISITDY											AGENRF		VISITDY
