CO	DM	SE	SV	CM	EX	EC	PR	SU	AE	CE	DS	DV	HO	MH	DA	DD	EG	IE	IS	LB	MB	MS	MI	MO	PC	PP	PE	QS	RP	SC	SS	TU	TR	RS	VS	CC	FA	SR	TA	TE	TV	TD	TI	TS	BE	BS	PF	PG	PB	SB	DI	DU	DX	DE	DT	DR	DO	RELREC	AG	RELSUB	RE
				CMPSTRGU	VISIT	VISIT	PRLOT	VISITNUM	AELAT	CEOUT	DSSLIFE	DVSOD	HOPATT	MHSCAN	DACSTATE	DDBLFL	EGSPCCND	IECSTATE	ISANMETH	LBRESCAT	MBSPCUFL	MSLAT	MIANMETH	MONRIND	PCLOINC	PPFAST	PELEAD	QSSPCUFL	RPANMETH	SCDRVFL	SSLEAD	TUSPCUFL	TRPORTOT	RSMETHOD	VSSPCUFL	CCTOXGR	FAENTPT	SRSTTPT									PFTPT												AGVAMT		
				CMADJ	VISITDY	VISITDY	PRFAST	VISIT	AEDIR	CESCAN	DSSOD	DVSMIE	HOOUT	MHSCONG	DAFAST	DDDRVFL	EGSPCUFL	IEFAST	ISLEAD	LBXFN	MBLAT	MSDIR	MILEAD	MOLOINC	PCSPEC	PPBLFL	PECSTATE	QSLOC	RPLEAD	SCTOX	SSCSTATE	TURUNID	TRRUNID	RSRUNID	VSDIR	CCEVAL	FASTINT	SRENRTPT									PFTPTNUM												AGVAMTU		
				EPOCH	EXSTRF	ECSTRF	PRPSTRG	VISITDY	AEPORTOT	CESCONG	DSSMIE	DVCONTRT	HOSCAN	MHSDISAB	DABLFL	DDTOX	EGLOC	IEBLFL	ISCSTATE	LBANTREG	MBDIR	MSPORTOT	MICSTATE	MOSPEC	PCANTREG	PPDRVFL	PEFAST	QSLAT	RPCSTATE	SCTOXGR	SSFAST	TUANMETH	TRANMETH	RSANMETH	VSPORTOT	CCEVALID	FAENINT	SRENTPT									PFELTM												AGADJ		
				VISITNUM	EXENRF	ECENRF	PRPSTRGU	SUTPT	AEPARTY	CESDISAB	DSCONTRT	DVTOX	HOSCONG	MHSDTH	DADRVFL	DDTOXGR	EGLAT	IEDRVFL	ISFAST	LBSPCUFL	MBPORTOT	MSRUNID	MIFAST	MOANTREG	PCSPCUFL	PPTOX	PEBLFL	QSDIR	RPFAST	SCEVAL	SSBLFL	TULEAD	TRLEAD	RSLEAD	VSMETHOD	CCACPTFL		SRSTINT									PFTPTREF												POOLID		
				VISIT	EXSTRTPT	ECSTRTPT	PRADJ	SUTPTNUM	AEPRTYID	CESDTH	DSTOX	DVTOXGR	HOSDISAB	MHSHOSP	DATOX	DDEVALID	EGDIR	IETOX	ISDRVFL	LBLOC	MBRUNID	MSANMETH	MIDRVFL	MOSPCCND	PCLOC	PPTOXGR	PEDRVFL	QSPORTOT	RPTOX	SCEVALID	SSDRVFL	TUCSTATE	TRCSTATE	RSCSTATE	VSRUNID	CCSEV		SRENINT									PFRFTDTC												SPDEVID		
				VISITDY	EXSTTPT	ECSTTPT	EPOCH	SUELTM	AEACNDEV	CESHOSP	DSTOXGR	DVDTC	HOSDTH	MHSLIFE	DATOXGR	DDACPTFL	EGPORTOT	IETOXGR	ISTOX	LBLAT	MBANMETH	MSLEAD	MITOX	MOSPCUFL	PCLAT	PPEVAL	PETOX	QSMETHOD	RPTOXGR	SCACPTFL	SSTOX	TUFAST	TRFAST	RSFAST	VSANMETH	CCDTHREL											PFREPNUM												AGREFID		
				CMTPT	EXENRTPT	ECENRTPT	PRSTRF	SUTPTREF	AETOX	CESLIFE	DSENDTC	DVDY	HOSHOSP	MHSOD	DAEVAL	DDSEV	EGRUNID	IEEVAL	ISTOXGR	LBDIR	MBLEAD	MSCSTATE	MITOXGR	MORUNID	PCDIR	PPEVALID	PETOXGR	QSRUNID	RPEVAL	SCSEV	SSTOXGR	TUBLFL	TRBLFL	RSBLFL	VSLEAD	CCLLOQ																							AGLNKID		
				CMTPTNUM	EXENTPT	ECENTPT	PRENRF	SURFTDTC	EPOCH	CESOD	DSDY	DVSTDY	HOSLIFE	MHSMIE	DAEVALID	DDDTHREL	EGANMETH	IEEVALID	ISEVAL	LBPORTOT	MBCSTATE	MSFAST	MIEVALID	MOLEAD	PCPORTOT	PPACPTFL	PEEVALID	QSANMETH	RPEVALID	SCDTHREL	SSEVALID	TUDRVFL	TRDRVFL	RSDRVFL	VSCSTATE	CCULOQ																							AGLNKGRP		
				CMTRTV	EXTRTV	ECTRTV	PRTRTV	SUTRTV	AEDTC	CESMIE	DSENDY	DVENDY	HOSOD	MHCONTRT	DAACPTFL	DDLLOQ	EGCSTATE	IEACPTFL	ISEVALID	LBRUNID	MBFAST	MSTOX	MIACPTFL	MOCSTATE	PCRUNID	PPSEV	PEACPTFL	QSLEAD	RPACPTFL	SCLLOQ	SSACPTFL	TUTOX	TRTOX	RSTOX	VSFAST	VISITNUM																							TAETORD		
				CMVAMT	EXVAMT	ECVAMT	PRVAMT	SUVAMT	AESTRF	CECONTRT	DSSTRF	DVSTRF	HOSMIE	MHTOX	DASEV	DDULOQ	EGFAST	IESEV	ISACPTFL	LBANMETH	MBTOX	MSTOXGR	MISEV	MOFAST	PCANMETH	PPDTHREL	PESEV	QSCSTATE	RPSEV	SCULOQ	SSSEV	TUTOXGR	TRTOXGR	RSTOXGR	VSTOX	VISIT																							EPOCH		
				CMVAMTU	EXVAMTU	ECVAMTU	PRVAMTU	SUVAMTU	AESTRTPT	CETOX	DSDUR	DVDUR	HOCONTRT	MHTOXGR	DADTHREL	VISITNUM	EGTOX	IEDTHREL	ISSEV	LBLEAD	MBTOXGR	MSEVAL	MIDTHREL	MOTOX	PCLEAD	PPLLOQ	PEDTHREL	QSFAST	RPDTHREL	VISITNUM	SSDTHREL	TUSEV	TRSEV	RSSEV	VSTOXGR	VISITDY																							AGTPT		
				POOLID	POOLID	POOLID	POOLID	POOLID	AESTTPT	CETOXGR	DSENRF	DVENRF	HOTOX	EPOCH	DALLOQ	VISIT	EGTOXGR	IELLOQ	ISDTHREL	LBCSTATE	MBEVAL	MSEVALID	MILLOQ	MOTOXGR	PCCSTATE	PPULOQ	PELLOQ	QSTOX	RPLLOQ	VISIT	SSLLOQ	TUDTHREL	TRDTHREL	RSDTHREL	VSEVAL	EPOCH																							AGTPTNUM		
				SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	POOLID	EPOCH	DSSTRTPT	DVSTRTPT	HOTOXGR	MHSTDY	DAULOQ	VISITDY	EGEVALID	IEULOQ	ISULOQ	LBEVAL	MBEVALID	MSACPTFL	MIULOQ	MOEVALID	PCFAST	VISITNUM	PEULOQ	QSTOXGR	RPULOQ	VISITDY	SSULOQ	TULLOQ	TRLLOQ	RSLLOQ	VSEVALID	CCDTC																							AGELTM		
				TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	SPDEVID	CESTDY	DSSTTPT	DVSTTPT	EPOCH	MHENDY	EPOCH	EPOCH	EGACPTFL	EPOCH	EPOCH	LBEVALID	MBACPTFL	MSSEV	EPOCH	MOACPTFL	PCBLFL	VISIT	EPOCH	QSEVALID	EPOCH	EPOCH	EPOCH	TUULOQ	TRULOQ	RSULOQ	VSACPTFL	CCENDTC																							AGTPTREF		
				CMDTC	EXDTC	ECDTC	PRDTC	SUDTC	AELNKID	CEENDY	DSENRTPT	DVENRTPT	HOSTRF	MHSTRF	DAENDTC	DDENDTC	EGSEV	IEENDTC	ISENDTC	LBACPTFL	MBSEV	MSDTHREL	MIENDTC	MOSEV	PCTOX	VISITDY	PEENDTC	QSACPTFL	RPENDTC	SCENDTC	SSENDTC	TUENDTC	TRENDTC	RSENDTC	VSSEV	CCRFTDTC																							AGRFTDTC		
				CMDY	EXDY	ECDY	PRDY	SUDY	AELNKGRP	CEDUR	DSENTPT	DVENTPT	HOENRF	MHDUR	DARFTDTC	DDRFTDTC	EGDTHREL	IERFTDTC	ISRFTDTC	LBSEV	MBDTHREL	MSLLOQ	MIRFTDTC	MODTHREL	PCTOXGR	EPOCH	PERFTDTC	QSSEV	RPRFTDTC	SCRFTDTC	SSRFTDTC	TURFTDTC	TRRFTDTC	RSRFTDTC	VSDTHREL	CCDY																							AGEVLINT		
				CMEVLINT	EXEVLINT	ECEVLINT	PREVLINT	SUEVLINT	VISITNUM	POOLID	POOLID	POOLID	POOLID	MHSTTPT	DATPT	DDTPT	EGLLOQ	IETPT	ISTPT	LBDTHREL	MBLLOQ	MSULOQ	MITPT	MOLLOQ	PCEVAL	PPENDTC	PETPT	QSDTHREL	RPTPT	SCTPT	SSTPT	TUTPT	TRTPT	RSTPT	VSLLOQ	CCTPT																							AGEVINTX		
				CMEVINTX	EXEVINTX	ECEVINTX	PREVINTX	SUEVINTX	VISIT	SPDEVID	SPDEVID	SPDEVID	SPDEVID	POOLID	DATPTNUM	DDTPTNUM	EGULOQ	IETPTNUM	ISTPTNUM	LBLLOQ	MBULOQ	EPOCH	MITPTNUM	MOULOQ	PCEVALID	PPDY	PETPTNUM	QSLLOQ	RPTPTNUM	SCTPTNUM	SSTPTNUM	TUTPTNUM	TRTPTNUM	RSTPTNUM	VSULOQ	CCTPTNUM																							AGSTINT		
				CMSTINT	EXSTINT	ECSTINT	PRSTINT	SUSTINT	VISITDY	CELNKID	DSLNKID	DVLNKID	HOLNKID	SPDEVID	DAELTM	DDELTM	EPOCH	IEELTM	ISELTM	LBULOQ	EPOCH	MSENDTC	MIELTM	EPOCH	PCACPTFL	PPTPT	PEELTM	QSULOQ	RPELTM	SCELTM	SSELTM	TUELTM	TRELTM	RSELTM	EPOCH	CCELTM																							AGENINT		
				CMENINT	EXENINT	ECENINT	PRENINT	SUENINT	TAETORD	CELNKGRP	DSLNKGRP	DVLNKGRP	HOLNKGRP	MHLNKID	DATPTREF	DDTPTREF	EGENDTC	IETPTREF	ISTPTREF	EPOCH	MBENDTC	MSRFTDTC	MITPTREF	MOENDTC	PCSEV	PPTPTNUM	PETPTREF	EPOCH	RPTPTREF	SCTPTREF	SSTPTREF	TUTPTREF	TRTPTREF	RSTPTREF	VSENDTC	CCTPTREF																									
				CMDETECT	EXDETECT	ECDETECT	PRDETECT	SUDETECT	AETPT	VISITNUM	VISITNUM	VISITNUM	VISITNUM	MHLNKGRP	DAEVLINT	DDEVLINT	EGEVLINT	IEEVLINT	ISEVLINT	LBEVLINT	MBEVLINT	MSEVLINT	MIEVLINT	MOEVLINT	PCDTHREL	PPELTM	PEEVLINT	QSENDTC	RPEVLINT	SCEVLINT	SSEVLINT	TUEVLINT	TREVLINT	RSEVLINT	VSEVLINT	CCEVLINT																									
									AETPTNUM	VISIT	VISIT	VISIT	VISIT	VISITNUM	DASTINT	DDSTINT	EGSTINT	IESTINT	ISSTINT	LBSTINT	MBSTINT	MSSTINT	MISTINT	MOSTINT	EPOCH	PPTPTREF	PESTINT	QSSTINT	RPSTINT	SCSTINT	SSSTINT	TUSTINT	TRSTINT	RSSTINT	VSSTINT	CCSTINT																									
									AEELTM	VISITDY	VISITDY	VISITDY	VISITDY	VISIT	DAENINT	DDENINT	EGENINT	IEENINT	ISENINT	LBENINT	MBENINT	MSENINT	MIENINT	MOENINT	PCRFTDTC	PPEVLINT	PEENINT	QSENINT	RPENINT	SCENINT	SSENINT	TUENINT	TRENINT	RSENINT	VSENINT	CCENINT																									
									AETPTREF	TAETORD	TAETORD	TAETORD	TAETORD	VISITDY	DAEXCLFL	DDEXCLFL	EGEXCLFL	IEEXCLFL	ISEXCLFL	LBEXCLFL	MBEXCLFL	MSEXCLFL	MIEXCLFL	MOEXCLFL	PCSTINT	PPEXCLFL	PEEXCLFL	QSEXCLFL	RPEXCLFL	SCEXCLFL	SSEXCLFL	TUEXCLFL	TREXCLFL	RSEXCLFL	VSEXCLFL	CCEXCLFL																									
									AERFTDTC	CETPT	DSTPT	DVTPT	HOTPT	TAETORD	DAREASEX	DDREASEX	EGREASEX	IEREASEX	ISREASEX	LBREASEX	MBREASEX	MSREASEX	MIREASEX	MOREASEX	PCENINT	PPREASEX	PEREASEX	QSREASEX	RPREASEX	SCREASEX	SSREASEX	TUREASEX	TRREASEX	RSREASEX	VSREASEX	CCREASEX																									
									AEEVLINT	CETPTNUM	DSTPTNUM	DVTPTNUM	HOTPTNUM	MHTPT	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	PCEXCLFL	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID	POOLID																									
									AEEVINTX	CEELTM	DSELTM	DVELTM	HOELTM	MHTPTNUM	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	PCREASEX	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID	SPDEVID																									
									AESTINT	CETPTREF	DSTPTREF	DVTPTREF	HOTPTREF	MHEVLINT	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	POOLID	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD	TAETORD																									
									AEENINT	CERFTDTC	DSRFTDTC	DVRFTDTC	HORFTDTC	MHEVINTX	DASTDTC	DDSTDTC	EGSTDTC	IESTDTC	ISSTDTC	LBSTDTC	MBSTDTC	MSSTDTC	MISTDTC	MOSTDTC	SPDEVID	PPSTDTC	PESTDTC	QSSTDTC	RPSTDTC	SCSTDTC	SSSTDTC	TUSTDTC	TRSTDTC	RSSTDTC	VSSTDTC	CCSTDTC																									
										CEEVLINT	DSEVLINT	DVEVLINT	HOEVLINT	MHSTINT	DASTDY	DDSTDY	EGSTDY	IESTDY	ISSTDY	LBSTDY	MBSTDY	MSSTDY	MISTDY	MOSTDY	TAETORD	PPSTDY	PESTDY	QSSTDY	RPSTDY	SCSTDY	SSSTDY	TUSTDY	TRSTDY	RSSTDY	VSSTDY	CCSTDY																									
										CEEVINTX	DSEVINTX	DVEVINTX	HOEVINTX	MHENINT	DAENDY	DDENDY	EGENDY	IEENDY	ISENDY	LBENDY	MBENDY	MSENDY	MIENDY	MOENDY	PCSTDTC	PPENDY	PEENDY	QSENDY	RPENDY	SCENDY	SSENDY	TUENDY	TRENDY	RSENDY	VSENDY	CCENDY																									
										CESTINT	DSSTINT	DVSTINT	HOSTINT	MHSTRTPT	DADUR	DDDUR	EGENRF	IEDUR	ISDUR	LBDUR	MBDUR	MSDUR	MIDUR	MODUR	PCSTDY	PPDUR	PEDUR	QSDUR	RPDUR	SCDUR	SSDUR	TUDUR	TRDUR	RSDUR	VSDUR	CCDUR																									
										CEENINT	DSENINT	DVENINT	HOENINT		DAEVINTX	DDEVINTX	EGEVINTX	IEEVINTX	ISEVINTX	LBEVINTX	MBEVINTX	MSEVINTX	MIEVINTX	MOEVINTX	PCENDY	PPEVINTX	PEEVINTX	QSEVINTX	RPEVINTX	SCEVINTX	SSEVINTX	TUEVINTX	TREVINTX	RSEVINTX	VSEVINTX	CCEVINTX																									
															DASTRTPT	DDSTRTPT	EGSTRTPT	IESTRTPT	ISSTRTPT	LBSTRTPT	MBSTRTPT	MSSTRTPT	MISTRTPT	MOSTRTPT	PCDUR	PPSTRTPT	PESTRTPT	QSSTRTPT	RPSTRTPT	SCSTRTPT	SSSTRTPT	TUSTRTPT	TRSTRTPT	RSSTRTPT	VSSTRTPT	CCSTRTPT																									
															DASTTPT	DDSTTPT	EGSTTPT	IESTTPT	ISSTTPT	LBSTTPT	MBSTTPT	MSSTTPT	MISTTPT	MOSTTPT	PCEVINTX	PPSTTPT	PESTTPT	QSSTTPT	RPSTTPT	SCSTTPT	SSSTTPT	TUSTTPT	TRSTTPT	RSSTTPT	VSSTTPT	CCSTTPT																									
															DAENRTPT	DDENRTPT	EGENRTPT	IEENRTPT	ISENRTPT	LBENRTPT	MBENRTPT	MSENRTPT	MIENRTPT	MOENRTPT	PCSTRTPT	PPENRTPT	PEENRTPT	QSENRTPT	RPENRTPT	SCENRTPT	SSENRTPT	TUENRTPT	TRENRTPT	RSENRTPT	VSENRTPT	CCENRTPT																									
															DAENTPT	DDENTPT	EGENTPT	IEENTPT	ISENTPT	LBENTPT	MBENTPT	MSENTPT	MIENTPT	MOENTPT	PCSTTPT	PPENTPT	PEENTPT	QSENTPT	RPENTPT	SCENTPT	SSENTPT	TUENTPT	TRENTPT	RSENTPT	VSENTPT	CCENTPT																									
																									PCENRTPT																																				
																									PCENTPT																																				
